id,title,artist,album,genre,durationSecs,filePath
001,Nomad,Clairo,Charm,Soft rock / jazz / psychedelic folk / soul,03:45,nomad.mp3
002,Sexy to Someone,Clairo,Charm,Soft rock / jazz / psychedelic folk / soul,03:27,sexy_to_someone.mp3
003,Second Nature,Clairo,Charm,Soft rock / jazz / psychedelic folk / soul,03:47,second_nature.mp3
004,Slow Dance,Clairo,Charm,Soft rock / jazz / psychedelic folk / soul,03:54,slow_dance.mp3
005,Thank You,Clairo,Charm,Soft rock / jazz / psychedelic folk / soul,03:25,thank_you.mp3
006,Terrapin,Clairo,Charm,Soft rock / jazz / psychedelic folk / soul,03:01,terrapin.mp3
007,Juna,Clairo,Charm,Soft rock / jazz / psychedelic folk / soul,03:15,juna.mp3
008,Add Up My Love,Clairo,Charm,Soft rock / jazz / psychedelic folk / soul,03:25,add_up_my_love.mp3
009,Echo,Clairo,Charm,Soft rock / jazz / psychedelic folk / soul,03:49,echo.mp3
010,Glory of the Snow,Clairo,Charm,Soft rock / jazz / psychedelic folk / soul,02:50,glory_of_the_snow.mp3
011,Pier 4,Clairo,Charm,Soft rock / jazz / psychedelic folk / soul,03:25,pier_4.mp3
012,Alewife,Clairo,Immunity,Soft rock / bedroom pop / electropop,03:32,alewife.mp3
013,Impossible,Clairo,Immunity,Soft rock / bedroom pop / electropop,03:50,impossible.mp3
014,Closer to You,Clairo,Immunity,Soft rock / bedroom pop / electropop,03:04,closer_to_you.mp3
015,North,Clairo,Immunity,Soft rock / bedroom pop / electropop,03:33,north.mp3
016,Bags,Clairo,Immunity,Soft rock / bedroom pop / electropop,04:20,bags.mp3
017,Softly,Clairo,Immunity,Soft rock / bedroom pop / electropop,03:05,softly.mp3
018,Sofia,Clairo,Immunity,Soft rock / bedroom pop / electropop,03:08,sofia.mp3
019,White Flag,Clairo,Immunity,Soft rock / bedroom pop / electropop,03:01,white_flag.mp3
020,Feel Something,Clairo,Immunity,Soft rock / bedroom pop / electropop,02:57,feel_something.mp3
021,Sinking,Clairo,Immunity,Soft rock / bedroom pop / electropop,03:10,sinking.mp3
022,I Wouldnâ€™t Ask You,Clairo,Immunity,Soft rock / bedroom pop / electropop,06:56,i_wouldnt_ask_you.mp3
023,Add Up My Love,Clairo,Charm,Soft rock / jazz / psychedelic folk / soul,03:25,add_up_my_love.mp3
024,Alewife,Clairo,Immunity,Soft rock / bedroom pop / electropop,03:33,alewife.mp3
025,Alone Again,Faye Webster,Faye Webster,Soft rock / indie folk / alt-country,02:32,alone_again.mp3
026,Bags,Clairo,Immunity,Soft rock / bedroom pop / electropop,04:20,bags.mp3
027,Breaking The Habit,Linkin Park,Meteora,Nu-metal / rap rock / alternative rock,03:16,breaking_the_habit.mp3
028,Closer To You,Clairo,Immunity,Soft rock / bedroom pop / electropop,03:04,closer_to_you.mp3
029,Don't Stay,Linkin Park,Meteora,Nu-metal / rap rock / alternative rock,03:07,dont_stay.mp3
030,Easier To Run,Linkin Park,Meteora,Nu-metal / rap rock / alternative rock,03:24,easier_to_run.mp3
031,Echo,Clairo,Charm,Soft rock / jazz / psychedelic folk / soul,03:49,echo.mp3
032,Faint,Linkin Park,Meteora,Nu-metal / rap rock / alternative rock,02:42,faint.mp3
033,Feel Something,Clairo,Immunity,Soft rock / bedroom pop / electropop,02:56,feel_something.mp3
034,Figure.09,Linkin Park,Meteora,Nu-metal / rap rock / alternative rock,03:17,figure09.mp3
035,Foreword,Linkin Park,Meteora,Nu-metal / rap rock / alternative rock,00:13,foreword.mp3
036,From The Inside,Linkin Park,Meteora,Nu-metal / rap rock / alternative rock,02:55,from_the_inside.mp3
037,Glory Of the Snow,Clairo,Charm,Soft rock / jazz / psychedelic folk / soul,02:50,glory_of_the_snow.mp3
038,Hit the Floor,Linkin Park,Meteora,Nu-metal / rap rock / alternative rock,02:44,hit_the_floor.mp3
039,I Know You,Faye Webster,Faye Webster,Soft rock / indie folk / alt-country,04:11,i_know_you.mp3
040,It's Not a Sad Thing,Faye,Webster,Faye,Webster,Soft rock / indie folk / alt-country,02:07,its_not_a_sad_thing.mp3
041,Lying From You,Linkin Park,Meteora,Nu-metal / rap rock / alternative rock,02:56,lying_from_you.mp3
042,Nobody's Listening,Linkin Park,Meteora,Nu-metal / rap rock / alternative rock,03:00,nobodys_listening.mp3
043,Numb,Linkin Park,Meteora,Nu-metal / rap rock / alternative rock,03:08,numb.mp3
044,Remember When,Faye Webster,Faye Webster,Soft rock / indie folk / alt-country,02:54,remember_when.mp3
045,Say It Now,Faye Webster,Faye Webster,Soft rock / indie folk / alt-country,03:51,say_it_now.mp3
046,Second Nature,Clairo,Charm,Soft rock / jazz / psychedelic folk / soul,03:47,second_nature.mp3
047,Session,Linkin Park,Meteora,Nu-metal / rap rock / alternative rock,02:25,session.mp3
048,She Won't Go Away,Faye Webster,Faye Webster,Soft rock / indie folk / alt-country,03:07,she_wont_go_away.mp3
049,Somewhere I Belong,Linkin Park,Meteora,Nu-metal / rap rock / alternative rock,03:34,somewhere_i_belong.mp3
050,What's The Point,Faye Webster,Faye Webster,Soft rock / indie folk / alt-country,04:01,whats_the_point.mp3
051,Wrong People,Faye Webster,Faye Webster,Soft rock / indie folk / alt-country,03:30,wrong_people.mp3
052,Doomed,Bring Me The Horizon,That's the Spirit,Alternative rock / electronic rock / pop rock,04:34,doomed.mp3
053,Happy Song,Bring Me The Horizon,That's the Spirit,Alternative rock / electronic rock / pop rock,03:59,happy_song.mp3
054,Throne,Bring Me The Horizon,That's the Spirit,Alternative rock / electronic rock / pop rock,03:11,throne.mp3
055,True Friends,Bring Me The Horizon,That's the Spirit,Alternative rock / electronic rock / pop rock,03:52,true_friends.mp3
056,Follow You,Bring Me The Horizon,That's the Spirit,Alternative rock / electronic rock / pop rock,03:51,follow_you.mp3
057,What You Need,Bring Me The Horizon,That's the Spirit,Alternative rock / electronic rock / pop rock,04:12,what_you_need.mp3
058,Avalanche,Bring Me The Horizon,That's the Spirit,Alternative rock / electronic rock / pop rock,04:22,avalanche.mp3
059,Run,Bring Me The Horizon,That's the Spirit,Alternative rock / electronic rock / pop rock,03:42,run.mp3
060,Drown,Bring Me The Horizon,That's the Spirit,Alternative rock / electronic rock / pop rock,03:41,drown.mp3
061,Blasphemy,Bring Me The Horizon,That's the Spirit,Alternative rock / electronic rock / pop rock,04:35,blasphemy.mp3
062,Oh No,Bring Me The Horizon,That's the Spirit,Alternative rock / electronic rock / pop rock,05:01,oh_no.mp3
063,i apologise if you feel something,Bring Me The Horizon,Amo,Electronic Pop / Pop Rock / Ambient Pop,02:19,i_apologise_if_you_feel_something.mp3
064,MANTRA,Bring Me The Horizon,Amo,Electronic Pop / Pop Rock / Ambient Pop,03:53,mantra.mp3
065,nihilist blues,Bring Me The Horizon,Amo,Electronic Pop / Pop Rock / Ambient Pop,05:25,nihilist_blues.mp3
066,in the dark,Bring Me The Horizon,Amo,Electronic Pop / Pop Rock / Ambient Pop,04:31,in_the_dark.mp3
067,wonderful life,Bring Me The Horizon,Amo,Electronic Pop / Pop Rock / Ambient Pop,04:34,wonderful_life.mp3
068,ouch,Bring Me The Horizon,Amo,Electronic Pop / Pop Rock / Ambient Pop,01:49,ouch.mp3
069,medicine,Bring Me The Horizon,Amo,Electronic Pop / Pop Rock / Ambient Pop,03:47,medicine.mp3
070,sugar honey ice & tea,Bring Me The Horizon,Amo,Electronic Pop / Pop Rock / Ambient Pop,04:21,sugar_honey_ice_&_tea.mp3
071,why you gotta kick me when i'm down?,Bring Me The Horizon,Amo,Electronic Pop / Pop Rock / Ambient Pop,04:28,why_you_gotta_kick_me_when_im_down.mp3
072,fresh bruises,Bring Me The Horizon,Amo,Electronic Pop / Pop Rock / Ambient Pop,03:18,fresh_bruises.mp3
073,mother tongue,Bring Me The Horizon,Amo,Electronic Pop / Pop Rock / Ambient Pop,03:37,mother_tongue.mp3
074,heavy metal,Bring Me The Horizon,Amo,Electronic Pop / Pop Rock / Ambient Pop,04:00,heavy_metal.mp3
075,i don't know what to say,Bring Me The Horizon,Amo,Electronic Pop / Pop Rock / Ambient Pop,05:52,i_dont_know_what_to_say.mp3
id,title,artist,album,genre,durationSecs,filePath
076,D.O.G.,Vicente Void,Murder,Horrorcore / Industrial Hip Hop / Experimental Rap,01:31,dog.mp3
077,$lime,Vicente Void,Murder,Horrorcore / Industrial Hip Hop / Experimental Rap,02:53,slime.mp3
078,Mud,Vicente Void,Murder,Horrorcore / Industrial Hip Hop / Experimental Rap,01:57,mud.mp3
079,Necktie,Vicente Void,Murder,Horrorcore / Industrial Hip Hop / Experimental Rap,03:04,necktie.mp3
080,no1 knows,Vicente Void,Murder,Horrorcore / Industrial Hip Hop / Experimental Rap,03:48,no1_knows.mp3
081,Grief,Vicente Void,Murder,Horrorcore / Industrial Hip Hop / Experimental Rap,04:02,grief.mp3
082,Common Ground,Vicente Void,Murder,Horrorcore / Industrial Hip Hop / Experimental Rap,03:13,common_ground.mp3
083,Young and Aspiring,Underoath,They're Only Chasing Safety,Post-Hardcore / Screamo / Emo,03:04,young_and_aspiring.mp3
084,A Boy Brushed Red Living in Black and White,Underoath,They're Only Chasing Safety,Post-Hardcore / Screamo / Emo,04:28,a_boy_brushed_red_living_in_black_and_white.mp3
085,The Impact of Reason,Underoath,They're Only Chasing Safety,Post-Hardcore / Screamo / Emo,03:23,the_impact_of_reason.mp3
086,Reinventing Your Exit,Underoath,They're Only Chasing Safety,Post-Hardcore / Screamo / Emo,04:22,reinventing_your_exit.mp3
087,The Blue Note (instrumental),Underoath,They're Only Chasing Safety,Post-Hardcore / Screamo / Emo,00:51,the_blue_note_instrumental.mp3
088,It's Dangerous Business Walking Out Your Front Door,Underoath,They're Only Chasing Safety,Post-Hardcore / Screamo / Emo,03:58,its_dangerous_business_walking_out_your_front_door.mp3
089,"Down, Set, Go",Underoath,They're Only Chasing Safety,Post-Hardcore / Screamo / Emo,03:44,down_set_go.mp3
090,I Don't Feel Very Receptive Today,Underoath,They're Only Chasing Safety,Post-Hardcore / Screamo / Emo,03:42,i_dont_feel_very_receptive_today.mp3
091,I'm Content with Losing,Underoath,They're Only Chasing Safety,Post-Hardcore / Screamo / Emo,03:55,im_content_with_losing.mp3
092,"Some Will Seek Forgiveness, Others Escape",Underoath,They're Only Chasing Safety,Post-Hardcore / Screamo / Emo,04:21,some_will_seek_forgiveness_others_escape.mp3
093,Seven Years,Saosin,Translating the Name,Post-Hardcore / Screamo / Progressive Emo,03:12,seven_years.mp3
094,Translating the Name,Saosin,Translating the Name,Post-Hardcore / Screamo / Progressive Emo,03:26,translating_the_name.mp3
095,3rd Measurement In C,Saosin,Translating the Name,Post-Hardcore / Screamo / Progressive Emo,02:38,3rd_measurement_in_c.mp3
096,Lost Symphonies,Saosin,Translating the Name,Post-Hardcore / Screamo / Progressive Emo,02:55,lost_symphonies.mp3
097,They Perched On Their Stilts, Pointing and Daring Me To Break Custom,Saosin,Translating the Name,Post-Hardcore / Screamo / Progressive Emo,02:51,they_perched_on_their_stilts_pointing_and_daring_me_to_break_custom.mp3
098,fleahouse,Static Dress,Rouge Carpet Disaster,Post-Hardcore / Emo / Metalcore,03:03,fleahouse.mp3
099,sweet.,Static Dress,Rouge Carpet Disaster,Post-Hardcore / Emo / Metalcore,03:36,sweet.mp3
100,Push rope,Static Dress,Rouge Carpet Disaster,Post-Hardcore / Emo / Metalcore,03:06,push_rope.mp3
101,Attempt 8,Static Dress,Rouge Carpet Disaster,Post-Hardcore / Emo / Metalcore,02:33,attempt_8.mp3
102,"Courtney, just relax",Static Dress,Rouge Carpet Disaster,Post-Hardcore / Emo / Metalcore,02:55,courtney_just_relax.mp3
103,Di-sinTer,Static Dress,Rouge Carpet Disaster,Post-Hardcore / Emo / Metalcore,03:26,di_sinter.mp3
104,such.a.shame,Static Dress,Rouge Carpet Disaster,Post-Hardcore / Emo / Metalcore,03:19,such_a_shame.mp3
105,...Maybe!!?,Static Dress,Rouge Carpet Disaster,Post-Hardcore / Emo / Metalcore,03:27,maybe.mp3
106,Lye solution,Static Dress,Rouge Carpet Disaster,Post-Hardcore / Emo / Metalcore,03:13,lye_solution.mp3
107,Unexplainabletitlesleavingyouwonderingwhy (Welcome In),Static Dress,Rouge Carpet Disaster,Post-Hardcore / Emo / Metalcore,01:46,unexplainabletitlesleavingyouwonderingwhy.mp3
108,Marisol,Static Dress,Rouge Carpet Disaster,Post-Hardcore / Emo / Metalcore,04:53,marisol.mp3
109,cubicle dialogue,Static Dress,Rouge Carpet Disaster,Post-Hardcore / Emo / Metalcore,04:16,cubicle_dialogue.mp3
110,No Stars Over Bethlehem,Protest the Hero,Kezia,Progressive Metal / Mathcore / Post-Hardcore,04:25,no_stars_over_bethlehem.mp3
111,Heretics & Killers,Protest the Hero,Kezia,Progressive Metal / Mathcore / Post-Hardcore,03:09,heretics_and_killers.mp3
112,Divinity Within,Protest the Hero,Kezia,Progressive Metal / Mathcore / Post-Hardcore,04:32,divinity_within.mp3
113,Bury the Hatchet,Protest the Hero,Kezia,Progressive Metal / Mathcore / Post-Hardcore,03:23,bury_the_hatchet.mp3
114,Nautical,Protest the Hero,Kezia,Progressive Metal / Mathcore / Post-Hardcore,02:57,nautical.mp3
115,Blindfolds Aside,Protest the Hero,Kezia,Progressive Metal / Mathcore / Post-Hardcore,05:59,blindfolds_aside.mp3
116,She Who Mars the Skin of Gods,Protest the Hero,Kezia,Progressive Metal / Mathcore / Post-Hardcore,03:51,she_who_mars_the_skin_of_gods.mp3
117,Turn Soonest to the Sea,Protest the Hero,Kezia,Progressive Metal / Mathcore / Post-Hardcore,06:21,turn_soonest_to_the_sea.mp3
118,The Divine Suicide of K.,Protest the Hero,Kezia,Progressive Metal / Mathcore / Post-Hardcore,05:10,the_divine_suicide_of_k.mp3
119,A Plateful of Our Dead,Protest the Hero,Kezia,Progressive Metal / Mathcore / Post-Hardcore,04:29,a_plateful_of_our_dead.mp3